"Language","original","English","French","German","Russian","Spanish","Italian","Polish","Czech","Hungarian","Chinese","Japanese","Portuguese","Korean"
"STR_GMA_MODULE_NAME","Animal Management","Animal Management","Gestion des animaux","Tierverwaltung","Управление Животными","Gestión De Animales","Gestione Animali","Zarządzanie Zwierzętami","Správa Zvířat","Állatkezelés","动物管理","動物管理","Gestão De Animais","동물 관리"
"STR_GMA_LIST_TITLE","ANIMALS","ANIMALS","ANIMAUX","TIERE","ЖИВОТНЫЕ","ANIMALES","ANIMALI","ZWIERZĘTA","ZVÍŘATA","ÁLLATOK","动物","動物","ANIMAIS","동물"
"STR_GMA_DELETE_ALL","DELETE ALL","DELETE ALL","SUPPR. TOUT","ALLE LÖSCHEN","УДАЛИТЬ ВСЁ","ELIMINAR TODO","ELIMINA TUTTI","USUŃ WSZYSTKO","SMAZAT VŠE","MIND TÖRLÉSE","全部删除","全削除","EXCLUIR TUDO","모두 삭제"
"STR_GMA_DELETE_RADIUS","DEL. RADIUS","DEL. RADIUS","SUPPR. RAYON","RADIUS LÖSCHEN","УДАЛ. В РАДИУСЕ","ELIM. RADIO","ELIM. RAGGIO","USUŃ PROMIEŃ","SMAZAT OKRUH","SUGÁR TÖRLÉS","半径删除","半径削除","EXCL. RAIO","반경 삭제"
"STR_GMA_DELETE_RADIUS_CONFIRM","DELETE ALL ANIMALS WITHIN THE GIVEN RADIUS (IN METERS) AROUND YOUR CURRENT POSITION?","DELETE ALL ANIMALS WITHIN THE GIVEN RADIUS (IN METERS) AROUND YOUR CURRENT POSITION?","SUPPRIMER TOUS LES ANIMAUX DANS LE RAYON INDIQUÉ (EN MÈTRES) AUTOUR DE VOTRE POSITION ACTUELLE ?","","","","","","","","","","",""
"STR_GMA_DELETE_ONE","DELETE THIS ANIMAL?","DELETE THIS ANIMAL?","SUPPRIMER CET ANIMAL ?","DIESES TIER LÖSCHEN?","УДАЛИТЬ ЭТО ЖИВОТНОЕ?","¿ELIMINAR ESTE ANIMAL?","ELIMINARE QUESTO ANIMALE?","USUNĄĆ TO ZWIERZĘ?","SMAZAT TOTO ZVÍŘE?","TÖRLI EZT AZ ÁLLATOT?","删除这只动物？","この動物を削除しますか？","EXCLUIR ESTE ANIMAL?","이 동물을 삭제하시겠습니까?"
"STR_GMA_TP_ANIMAL","TP ANIMAL","TP ANIMAL","TP ANIMAL","TP TIER","ТП ЖИВОТНОЕ","TP ANIMAL","TP ANIMALE","TP ZWIERZĘ","TP ZVÍŘE","TP ÁLLAT","传送动物","動物へTP","TP ANIMAL","동물 TP"
"STR_GMA_INFO_TITLE","Animal Information","Animal Information","Informations animal","Tierinformationen","Информация о животном","Información del animal","Informazioni animale","Informacje o zwierzęciu","Informace o zvířeti","Állat információ","动物信息","動物情報","Informações do animal","동물 정보"
"STR_GMA_ANIMAL_ID","Animal ID","Animal ID","ID animal","Tier-ID","ID животного","ID del animal","ID animale","ID zwierzęcia","ID zvířete","Állat azonosító","动物ID","動物ID","ID do animal","동물 ID"
"STR_GMA_ANIMAL_NAME","Animal Name","Animal Name","Nom de l'animal","Tiername","Имя животного","Nombre del animal","Nome animale","Nazwa zwierzęcia","Jméno zvířete","Állat neve","动物名称","動物名","Nome do animal","동물 이름"
"STR_GMA_ANIMAL_CLASSNAME","Class Name","Class Name","Nom de classe","Klassenname","Имя класса","Nombre de clase","Nome classe","Nazwa klasy","Název třídy","Osztálynév","类名","クラス名","Nome da classe","클래스 이름"
"STR_GMA_ANIMAL_POSITION","Position","Position","Position","Position","Позиция","Posición","Posizione","Pozycja","Pozice","Pozíció","位置","位置","Posição","위치"
"STR_GMA_ANIMAL_ORIENTATION","Orientation","Orientation","Orientation","Ausrichtung","Ориентация","Orientación","Orientamento","Orientacja","Orientace","Tájolás","方向","向き","Orientação","방향"
"STR_GMA_HEALTH","Health","Health","Santé","Gesundheit","Здоровье","Salud","Salute","Zdrowie","Zdraví","Életerő","生命值","体力","Saúde","체력"
"STR_GMA_LIVE_ANIMAL","Live Animal","Live Animal","Animal vivant","Lebendes Tier","Живое животное","Animal vivo","Animale vivo","Żywe zwierzę","Živé zvíře","Élő állat","活体动物","生存","Animal vivo","살아있는 동물"
"STR_GMA_OPTIONS","Animal Options","Animal Options","Options animal","Tieroptionen","Опции животного","Opciones del animal","Opzioni animale","Opcje zwierzęcia","Možnosti zvířete","Állat opciók","动物选项","動物オプション","Opções do animal","동물 옵션"
"STR_GMA_HEAL","HEAL","HEAL","SOIGNER","HEILEN","ЛЕЧИТЬ","CURAR","CURA","ULECZ","LÉČIT","GYÓGYÍT","治疗","治療","CURAR","치료"
"STR_GMA_YES","Yes","Yes","Oui","Ja","Да","Sí","Sì","Tak","Ano","Igen","是","はい","Sim","예"
"STR_GMA_NO","No","No","Non","Nein","Нет","No","No","Nie","Ne","Nem","否","いいえ","Não","아니요"
