"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_ZenCOT_Map","MAP","MAP","MAPA","KARTE","КАРТА","MAPA","TÉRKÉP","MAPPA","MAPA","CARTE","地圖","マップ","MAPA","地图"
"STR_ZenCOT_Copied","Copied to clipboard position of object","Copied to clipboard position of object","Pozice objektu zkopírována do schránky","Position des Objekts in die Zwischenablage kopiert","Позиция объекта скопирована в буфер обмена","Pozycja obiektu skopiowana do schowka","Az objektum pozíciója a vágólapra másolva","Posizione dell'oggetto copiata negli appunti","Posición del objeto copiada al portapapeles","Position de l'objet copiée dans le presse-papiers","物件位置已複製到剪貼簿","オブジェクトの位置をクリップボードにコピーしました","Posição do objeto copiada para a área de transferência","对象位置已复制到剪贴板"
"STR_ZenCOT_Orientation","Orientation","Orientation","Orientace","Ausrichtung","Ориентация","Orientacja","Tájolás","Orientamento","Orientación","Orientation","朝向","向き","Orientação","朝向"
"STR_ZenCOT_NotFound","No items with classname %1 were found.","No items with classname %1 were found.","Nebyly nalezeny žádné položky s classname %1.","Es wurden keine Objekte mit dem Klassennamen %1 gefunden.","Объекты с именем класса %1 не найдены.","Nie znaleziono żadnych obiektów o nazwie klasy %1.","Nem találhatók elemek %1 osztálynévvel.","Non sono stati trovati oggetti con il nome di classe %1.","No se encontraron objetos con el nombre de clase %1.","Aucun objet avec le nom de classe %1 n'a été trouvé.","找不到類別名稱為 %1 的物件。","クラス名 %1 のアイテムは見つかりませんでした。","Nenhum item com o nome de classe %1 foi encontrado.","未找到类名为 %1 的对象。"
"STR_ZenCOT_Deleted","Deleted","Deleted","Smazáno","Gelöscht","Удалено","Usunięto","Törölve","Eliminato","Eliminado","Supprimé","已刪除","削除しました","Eliminado","已删除"
"STR_ZenCOT_DeleteWarning","WARNING: Are you sure you want to delete ALL %1 across the entire map?","WARNING: Are you sure you want to delete ALL %1 across the entire map?","VAROVÁNÍ: Opravdu chcete smazat VŠECHNY %1 na celé mapě?","WARNUNG: Bist du sicher, dass du ALLE %1 auf der gesamten Karte löschen möchtest?","ПРЕДУПРЕЖДЕНИЕ: Вы уверены, что хотите удалить ВСЕ %1 на всей карте?","OSTRZEŻENIE: Czy na pewno chcesz usunąć WSZYSTKIE %1 na całej mapie?","FIGYELEM: Biztosan törölni akarod AZ ÖSSZES %1 elemet az egész térképen?","ATTENZIONE: Sei sicuro di voler eliminare TUTTI i %1 su tutta la mappa?","ADVERTENCIA: ¿Seguro que quieres eliminar TODOS los %1 en todo el mapa?","AVERTISSEMENT : Êtes-vous sûr de vouloir supprimer TOUS les %1 sur toute la carte ?","警告：你確定要刪除整張地圖上的所有 %1 嗎？","警告：マップ全体のすべての %1 を本当に削除しますか？","AVISO: Tem certeza de que deseja excluir TODOS os %1 em todo o mapa?","警告：你确定要删除整张地图上的所有 %1 吗？"
"STR_ZenCOT_AdminBuildTitle","Admin Build","Admin Build","Admin stavba","Admin-Bau","Админ-строительство","Budowa admina","Admin építés","Costruzione admin","Construcción de administrador","Construction admin","管理員建造","管理者ビルド","Construção de administrador","管理员建造"
"STR_ZenCOT_AdminBuildSelected","Selected","Selected","Vybráno","Ausgewählt","Выбрано","Wybrano","Kijelölve","Selezionato","Seleccionado","Sélectionné","已選擇","選択済み","Selecionado","已选择"
"STR_ZenCOT_CycleBuild","Cycle build","Cycle build","Přepnout stavbu","Bau durchschalten","Переключить постройку","Przełącz budowę","Építés váltása","Scorri costruzioni","Cambiar construcción","Changer de construction","切換建築","建築切り替え","Alternar construção","切换建筑"
"STR_ZenCOT_Week","week","week","týden","Woche","неделя","tydzień","hét","settimana","semana","semaine","週","週","semana","周"
"STR_ZenCOT_Week_S","weeks","weeks","týdny","Wochen","недели","tygodnie","hetek","settimane","semanas","semaines","數週","数週間","semanas","几周"
"STR_ZenCOT_Day","day","day","den","Tag","день","dzień","nap","giorno","día","jour","天","日","dia","天"
"STR_ZenCOT_Day_S","days","days","dny","Tage","дни","dni","napok","giorni","días","jours","數天","数日","dias","几天"
"STR_ZenCOT_Hour","hour","hour","hodina","Stunde","час","godzina","óra","ora","hora","heure","小時","時間","hora","小时"
"STR_ZenCOT_Hour_S","hours","hours","hodiny","Stunden","часы","godziny","órák","ore","horas","heures","數小時","数時間","horas","几小时"
"STR_ZenCOT_Minute","minute","minute","minuta","Minute","минута","minuta","perc","minuto","minuto","minute","分鐘","分","minuto","分钟"
"STR_ZenCOT_Minute_S","minutes","minutes","minuty","Minuten","минуты","minuty","percek","minuti","minutos","minutes","數分鐘","数分","minutos","几分钟"
"STR_ZenCOT_MapClear","Clear","Clear","Vymazat","Löschen","Очистить","Wyczyść","Törlés","Cancella","Limpiar","Effacer","清除","マップクリア","Limpar","清除"
