"Language","original","English","French","German","Russian","Spanish","Italian","Polish","Czech","Hungarian","Chinese","Japanese","Portuguese","Korean"
"STR_GKF_MODULE_NAME","KillFeed Manager","KillFeed Manager","Gestion du KillFeed","KillFeed-Verwaltung","Управление убийствами","Gestión de KillFeed","Gestione KillFeed","Zarządzanie KillFeed","Správa KillFeed","KillFeed kezelő","击杀记录管理","キルフィード管理","Gerenciador de KillFeed","킬피드 관리자"
"STR_GKFM_REFRESH","Refresh","Refresh","Rafraichir","Aktualisieren","Обновить","Actualizar","Aggiorna","Odśwież","Obnovit","Frissítés","刷新","更新","Atualizar","새로고침"
"STR_GKFM_HIDE_VICTIMS","Hide victims","Hide victims","Masquer les victimes","Opfer ausblenden","Скрыть жертв","Ocultar víctimas","Nascondi vittime","Ukryj ofiary","Skrýt oběti","Áldozatok elrejtése","隐藏受害者","犠牲者を隠す","Ocultar vítimas","피해자 숨기기"
"STR_GKFM_CLEAR_LOG","Clear log","Clear log","Vider le journal","Protokoll leeren","Очистить журнал","Vaciar registro","Svuota registro","Wyczyść dziennik","Vymazat záznam","Napló törlése","清空日志","ログを消去","Limpar registro","기록 지우기"
"STR_GKFM_BAN_LIST","Ban list","Ban list","Liste des bans","Bannliste","Список банов","Lista de baneos","Lista ban","Lista banów","Seznam banů","Tiltólista","封禁列表","BANリスト","Lista de banimentos","차단 목록"
"STR_GKFM_F_ALL","All","All","Tous","Alle","Все","Todos","Tutti","Wszystkie","Vše","Mind","全部","すべて","Todos","전체"
"STR_GKFM_F_SUSPECT","Suspicious","Suspicious","Suspect","Verdächtig","Подозрительные","Sospechoso","Sospetto","Podejrzane","Podezřelé","Gyanús","可疑","不審","Suspeito","의심"
"STR_GKFM_NOLOS","Blind shot","Blind shot","Tir aveugle","Blindschuss","Слепой выстрел","Disparo a ciegas","Tiro alla cieca","Ślepy strzał","Slepý výstřel","Vak lövés","盲射","ブラインドショット","Tiro às cegas","보이지 않는 사격"
"STR_GKFM_F_BADAIM","Bad angle","Bad angle","Angle incorrect","Falscher Winkel","Неверный угол","Ángulo incorrecto","Angolo errato","Zły kąt","Špatný úhel","Rossz szög","角度错误","不正な角度","Ângulo incorreto","잘못된 각도"
"STR_GKFM_F_LONG","Long range","Long range","Longue distance","Weite Distanz","Дальняя дистанция","Larga distancia","Lunga distanza","Daleki dystans","Velká vzdálenost","Nagy távolság","远距离","長距離","Longa distância","장거리"
"STR_GKFM_F_TRAPS","Explosives/Traps","Explosives/Traps","Explosifs/Pieges","Sprengstoff/Fallen","Взрывчатка/Ловушки","Explosivos/Trampas","Esplosivi/Trappole","Wybuchowe/Pułapki","Výbušniny/Pasti","Robbanó/Csapdák","炸药/陷阱","爆発物/罠","Explosivos/Armadilhas","폭발물/함정"
"STR_GKFM_F_VEHICLES","Vehicles","Vehicles","Vehicules","Fahrzeuge","Транспорт","Vehículos","Veicoli","Pojazdy","Vozidla","Járművek","载具","車両","Veículos","차량"
"STR_GKFM_DATE","Date","Date","Date","Datum","Дата","Fecha","Data","Data","Datum","Dátum","日期","日付","Data","날짜"
"STR_GKFM_KILLER","Killer","Killer","Tueur","Töter","Убийца","Asesino","Uccisore","Zabójca","Zabiják","Gyilkos","击杀者","キラー","Assassino","가해자"
"STR_GKFM_VICTIM","Victim","Victim","Victime","Opfer","Жертва","Víctima","Vittima","Ofiara","Oběť","Áldozat","受害者","犠牲者","Vítima","피해자"
"STR_GKFM_DISTANCE","Distance","Distance","Distance","Distanz","Дистанция","Distancia","Distanza","Dystans","Vzdálenost","Távolság","距离","距離","Distância","거리"
"STR_GKFM_WEAPON","Weapon","Weapon","Arme","Waffe","Оружие","Arma","Arma","Broń","Zbraň","Fegyver","武器","武器","Arma","무기"
"STR_GKFM_LOS_Q","Line of sight?","Line of sight?","Tir a vue ?","Sichtlinie?","Прямая видимость?","¿Línea de visión?","Linea di tiro?","Linia wzroku?","Přímý výhled?","Rálátás?","可见射击？","視認射撃？","Linha de visão?","시야 확보?"
"STR_GKFM_AIM_ANGLE","Aim / angle","Aim / angle","Cadrage / angle","Zielen / Winkel","Прицел / угол","Apuntado / ángulo","Mira / angolo","Celowanie / kąt","Míření / úhel","Célzás / szög","瞄准/角度","照準/角度","Mira / ângulo","조준/각도"
"STR_GKFM_DETAIL_TITLE","Kill details","Kill details","Details du kill","Kill-Details","Детали убийства","Detalles de la muerte","Dettagli uccisione","Szczegóły zabójstwa","Detaily zabití","Ölés részletei","击杀详情","キル詳細","Detalhes do abate","처치 상세"
"STR_GKFM_KILLER_GUID","Killer SteamID","Killer SteamID","SteamID tueur","Töter-SteamID","SteamID убийцы","SteamID del asesino","SteamID uccisore","SteamID zabójcy","SteamID zabijáka","Gyilkos SteamID","击杀者SteamID","キラーSteamID","SteamID do assassino","가해자 SteamID"
"STR_GKFM_VICTIM_GUID","Victim SteamID","Victim SteamID","SteamID victime","Opfer-SteamID","SteamID жертвы","SteamID de la víctima","SteamID vittima","SteamID ofiary","SteamID oběti","Áldozat SteamID","受害者SteamID","犠牲者SteamID","SteamID da vítima","피해자 SteamID"
"STR_GKFM_AMMO","Ammo","Ammo","Munition","Munition","Боеприпас","Munición","Munizione","Amunicja","Munice","Lőszer","弹药","弾薬","Munição","탄약"
"STR_GKFM_VISIBILITY","Visibility","Visibility","Visibilite","Sichtbarkeit","Видимость","Visibilidad","Visibilità","Widoczność","Viditelnost","Láthatóság","可见性","視認性","Visibilidade","가시성"
"STR_GKFM_AIM","Aim","Aim","Cadrage","Zielen","Прицеливание","Apuntado","Mira","Celowanie","Míření","Célzás","瞄准","照準","Mira","조준"
"STR_GKFM_ANGLE","Aim angle","Aim angle","Angle de visee","Zielwinkel","Угол прицеливания","Ángulo de puntería","Angolo di mira","Kąt celowania","Úhel míření","Célzási szög","瞄准角度","照準角度","Ângulo de mira","조준 각도"
"STR_GKFM_KILLER_POS","Killer position","Killer position","Position tueur","Töter-Position","Позиция убийцы","Posición del asesino","Posizione uccisore","Pozycja zabójcy","Pozice zabijáka","Gyilkos pozíció","击杀者位置","キラー位置","Posição do assassino","가해자 위치"
"STR_GKFM_VICTIM_POS","Victim position","Victim position","Position tue","Opfer-Position","Позиция жертвы","Posición de la víctima","Posizione vittima","Pozycja ofiary","Pozice oběti","Áldozat pozíció","受害者位置","犠牲者位置","Posição da vítima","피해자 위치"
"STR_GKFM_TIME","Time","Time","Heure","Uhrzeit","Время","Hora","Ora","Godzina","Čas","Idő","时间","時刻","Hora","시간"
"STR_GKFM_CAUSE","Cause","Cause","Cause","Ursache","Причина","Causa","Causa","Przyczyna","Příčina","Ok","原因","原因","Causa","원인"
"STR_GKFM_TP_KILLER","TP to killer","TP to killer","TP au tireur","TP zum Schützen","ТП к убийце","TP al tirador","TP all'uccisore","TP do zabójcy","TP k zabijákovi","TP a gyilkoshoz","传送到击杀者","キラーへTP","TP para o atirador","가해자에게 이동"
"STR_GKFM_TP_VICTIM","TP to victim","TP to victim","TP a la victime","TP zum Opfer","ТП к жертве","TP a la víctima","TP alla vittima","TP do ofiary","TP k oběti","TP az áldozathoz","传送到受害者","犠牲者へTP","TP para a vítima","피해자에게 이동"
"STR_GKFM_SHOW_VICTIM","Show victim","Show victim","Afficher la victime","Opfer anzeigen","Показать жертву","Mostrar víctima","Mostra vittima","Pokaż ofiarę","Zobrazit oběť","Áldozat megjelenítése","显示受害者","犠牲者を表示","Mostrar vítima","피해자 표시"
"STR_GKFM_HIDE_VICTIM","Hide victim","Hide victim","Masquer la victime","Opfer ausblenden","Скрыть жертву","Ocultar víctima","Nascondi vittima","Ukryj ofiarę","Skrýt oběť","Áldozat elrejtése","隐藏受害者","犠牲者を隠す","Ocultar vítima","피해자 숨기기"
"STR_GKFM_BAN","Ban","Ban","Bannir","Bannen","Забанить","Banear","Banna","Zbanuj","Zabanovat","Kitiltás","封禁","BAN","Banir","차단"
"STR_GKFM_UNBAN","Unban","Unban","Debannir","Entbannen","Разбанить","Desbanear","Sbanna","Odbanuj","Odbanovat","Feloldás","解封","BAN解除","Desbanir","차단 해제"
"STR_GKFM_BACK","Back","Back","Retour","Zurück","Назад","Volver","Indietro","Wstecz","Zpět","Vissza","返回","戻る","Voltar","뒤로"
"STR_GKFM_BAN_DURATION_PROMPT","Ban duration in days:","Ban duration in days:","Duree du ban en jours :","Banndauer in Tagen:","Длительность бана в днях:","Duración del baneo en días:","Durata del ban in giorni:","Czas bana w dniach:","Délka banu ve dnech:","Tiltás hossza napokban:","封禁时长（天）：","BAN期間（日）：","Duração do banimento em dias:","차단 기간(일):"
"STR_GKFM_BAN_PERMANENT_NOTE","Leave empty = permanent ban.","Leave empty = permanent ban.","Laisser vide = bannissement permanent.","Leer lassen = dauerhafter Bann.","Оставьте пустым = постоянный бан.","Dejar vacío = baneo permanente.","Lascia vuoto = ban permanente.","Puste = ban na stałe.","Prázdné = trvalý ban.","Üresen = végleges tiltás.","留空 = 永久封禁。","空欄 = 永久BAN。","Deixe vazio = banimento permanente.","비워두면 = 영구 차단."
"STR_GKFM_CONFIRM","Confirm","Confirm","Confirmer","Bestätigen","Подтвердить","Confirmar","Conferma","Potwierdź","Potvrdit","Megerősítés","确认","確認","Confirmar","확인"
"STR_GKFM_CANCEL","Cancel","Cancel","Annuler","Abbrechen","Отмена","Cancelar","Annulla","Anuluj","Zrušit","Mégse","取消","キャンセル","Cancelar","취소"
"STR_GKFM_COL_IDENTIFIER","Identifier","Identifier","Identifiant","Kennung","Идентификатор","Identificador","Identificatore","Identyfikator","Identifikátor","Azonosító","标识符","識別子","Identificador","식별자"
"STR_GKFM_COL_REMAINING","Time left","Time left","Duree restante","Verbleibend","Осталось","Tiempo restante","Tempo rimasto","Pozostały czas","Zbývá","Hátralévő idő","剩余时间","残り時間","Tempo restante","남은 시간"
"STR_GKFM_COL_MESSAGE","Message","Message","Message","Nachricht","Сообщение","Mensaje","Messaggio","Wiadomość","Zpráva","Üzenet","消息","メッセージ","Mensagem","메시지"
"STR_GKFM_COL_ACTION","Action","Action","Action","Aktion","Действие","Acción","Azione","Akcja","Akce","Művelet","操作","操作","Ação","작업"
"STR_GKFM_LOS_YES","Line of sight","Line of sight","Tir a vue","Sichtlinie","Прямая видимость","Línea de visión","Linea di tiro","Linia wzroku","Přímý výhled","Rálátás","可见射击","視認射撃","Linha de visão","시야 확보"
"STR_GKFM_AIM_OK","Legit aim","Legit aim","Cadrage legitime","Legitimes Zielen","Корректный прицел","Apuntado legítimo","Mira legittima","Prawidłowe celowanie","Legitimní míření","Szabályos célzás","正常瞄准","正当な照準","Mira legítima","정상 조준"
"STR_GKFM_AIM_SUSPECT","Suspicious aim","Suspicious aim","Cadrage suspect","Verdächtiges Zielen","Подозрительный прицел","Apuntado sospechoso","Mira sospetta","Podejrzane celowanie","Podezřelé míření","Gyanús célzás","可疑瞄准","不審な照準","Mira suspeita","의심스러운 조준"
"STR_GKFM_YES","Yes","Yes","Oui","Ja","Да","Sí","Sì","Tak","Ano","Igen","是","はい","Sim","예"
"STR_GKFM_NO_BLIND","No (blind)","No (blind)","Non (aveugle)","Nein (blind)","Нет (вслепую)","No (a ciegas)","No (alla cieca)","Nie (na ślepo)","Ne (naslepo)","Nem (vakon)","否（盲射）","いいえ（盲目）","Não (às cegas)","아니오 (보이지 않음)"
"STR_GKFM_BANNED_MSG","You are banned from this server.","You are banned from this server.","Vous etes banni de ce serveur.","Du bist von diesem Server gebannt.","Вы забанены на этом сервере.","Estás baneado de este servidor.","Sei bannato da questo server.","Jesteś zbanowany na tym serwerze.","Jsi zabanován na tomto serveru.","Ki vagy tiltva erről a szerverről.","你已被本服务器封禁。","あなたはこのサーバーからBANされています。","Você está banido deste servidor.","이 서버에서 차단되었습니다."
"STR_GKFM_CLEAR_CONFIRM","Clear the kill log?","Clear the kill log?","Vider le journal des kills ?","Kill-Protokoll leeren?","Очистить журнал убийств?","¿Vaciar el registro de muertes?","Svuotare il registro delle uccisioni?","Wyczyścić dziennik zabójstw?","Vymazat záznam zabití?","Törlöd az öléslistát?","清空击杀日志？","キルログを消去しますか？","Limpar o registro de abates?","처치 기록을 지울까요?"
"STR_GKFM_PERMANENT","Permanent","Permanent","Permanent","Permanent","Навсегда","Permanente","Permanente","Na stałe","Trvale","Állandó","永久","永久","Permanente","영구"
"STR_GKFM_EXPIRED","Expired","Expired","Expiré","Abgelaufen","Истёк","Expirado","Scaduto","Wygasł","Vypršel","Lejárt","已过期","期限切れ","Expirado","만료됨"
"STR_GKFM_STEAM_PROFILE","Steam Profile","Steam Profile","Profil Steam","Steam-Profil","Профиль Steam","Perfil de Steam","Profilo Steam","Profil Steam","Profil Steam","Steam profil","Steam个人资料","Steamプロフィール","Perfil Steam","스팀 프로필"
