"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ECR_COT_Module_Name","[EX] Config Reload","[EX] Config Reload","[EX] Config Reload","[EX] Config Reload","[EX] Config Reload","[EX] Config Reload","[EX] Config Reload","[EX] Config Reload","[EX] Config Reload","[EX] Config Reload","[EX] 配置热重载","[EX] Config Reload","[EX] Config Reload","[EX] 設定熱重載",
"STR_ECR_Menu_Title","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload","Lyra - Expansion Config Reload",
"STR_ECR_Menu_Description","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","无需重启服务器，热重载已安装的 Expansion 配置。下方仅显示你已加载的模块。","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","Reload installed Expansion settings without restarting the server. Only modules you have loaded are shown below.","無需重啟伺服器，熱重載已安裝的 Expansion 設定。下方僅顯示你已載入的模組。",
"STR_ECR_Section_Actions","Reload Actions","Reload Actions","Reload Actions","Reload Actions","Reload Actions","Reload Actions","Reload Actions","Reload Actions","Reload Actions","Reload Actions","重載項目","Reload Actions","Reload Actions","重载项目",
"STR_ECR_Button_Market","Reload Expansion Market","Reload Expansion Market","Reload Expansion Market","Reload Expansion Market","Reload Expansion Market","Reload Expansion Market","Reload Expansion Market","Reload Expansion Market","Reload Expansion Market","Reload Expansion Market","重新加载 Expansion 市场","Reload Expansion Market","Reload Expansion Market","重新加载 Expansion 市场",
"STR_ECR_Button_Quests","Reload Expansion Quests","Reload Expansion Quests","Reload Expansion Quests","Reload Expansion Quests","Reload Expansion Quests","Reload Expansion Quests","Reload Expansion Quests","Reload Expansion Quests","Reload Expansion Quests","Reload Expansion Quests","重新加载 Expansion 任务","Reload Expansion Quests","Reload Expansion Quests","重新加载 Expansion 任务",
"STR_ECR_Button_Airdrop","Reload Airdrop Settings","Reload Airdrop Settings","Reload Airdrop Settings","Reload Airdrop Settings","Reload Airdrop Settings","Reload Airdrop Settings","Reload Airdrop Settings","Reload Airdrop Settings","Reload Airdrop Settings","Reload Airdrop Settings","重新加载空投设置","Reload Airdrop Settings","Reload Airdrop Settings","重新加载空投设置",
"STR_ECR_Button_Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","Reload Expansion Loadouts","重新加载 Loadouts 配置","Reload Expansion Loadouts","Reload Expansion Loadouts","重新加载 Loadouts 配置",
"STR_ECR_Input_Toggle","Open Config Reload Menu","Open Config Reload Menu","Open Config Reload Menu","Open Config Reload Menu","Open Config Reload Menu","Open Config Reload Menu","Open Config Reload Menu","Open Config Reload Menu","Open Config Reload Menu","Open Config Reload Menu","打开配置重新加载菜单","Open Config Reload Menu","Open Config Reload Menu","打开配置重新加载菜单",
"STR_ECR_Notif_Title","Config Reload","Config Reload","Config Reload","Config Reload","Config Reload","Config Reload","Config Reload","Config Reload","Config Reload","Config Reload","配置重新加载","Config Reload","Config Reload","配置重新加载",
"STR_ECR_Result_Market_OK","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion 商人市场] 配置已重载。","[Expansion Market] Configs reloaded.","[Expansion Market] Configs reloaded.","[Expansion 商人市场] 配置已重载。",
"STR_ECR_Result_Market_Fail","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion 商人市场] 重载失败，请查看服务器 RPT 日志。","[Expansion Market] Config reload failed, check server RPT.","[Expansion Market] Config reload failed, check server RPT.","[Expansion 商人市场] 重载失败，请查看服务器 RPT 日志。",
"STR_ECR_Result_Quests_OK","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion 任务] 配置已重载。","[Expansion Quests] Configs reloaded.","[Expansion Quests] Configs reloaded.","[Expansion 任务] 配置已重载。",
"STR_ECR_Result_Quests_Fail","[Expansion Quests] Config reload failed, check server RPT.","[Expansion Quests] Config reload failed, check server RPT.","[Expansion 任务] 重载失败，请查看服务器 RPT 日志。","","","","","","","","","","[Expansion 任務] 重載失敗，請查看伺服器 RPT 日誌。","",
"STR_ECR_Result_Loadouts_OK","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion 装备] 配置已重载。","[Expansion Loadouts] Configs reloaded.","[Expansion Loadouts] Configs reloaded.","[Expansion 装备] 配置已重载。",
"STR_ECR_Result_Loadouts_Fail","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion 装备配置] 重载失败，请查看服务器 RPT 日志。","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion Loadouts] Reload failed, check server RPT.","[Expansion 装备配置] 重载失败，请查看服务器 RPT 日志。",
"STR_ECR_Result_Airdrop_OK","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion 空投] AirdropSettings.json 已重载。","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion Airdrop] AirdropSettings.json reloaded.","[Expansion 空投] AirdropSettings.json 已重载。",
"STR_ECR_Result_Airdrop_Fail","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion 空投] 重载失败，请查看服务器 RPT 日志。","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion Airdrop] Reload failed, check server RPT.","[Expansion 空投] 重载失败，请查看服务器 RPT 日志。",
"STR_ECR_Result_Denied_Market","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion 商人市场] 权限不足。","[Expansion Market] Permission denied.","[Expansion Market] Permission denied.","[Expansion 商人市场] 权限不足。",
