"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_CVM_Title","DELETE ON SPAWN","DELETE ON SPAWN","SMAZAT NA SPAWNU","AUF SPAWN LÖSCHEN","УДАЛИТЬ НА СПАВНЕ","USUŃ NA SPAWNIE","TÖRLÉS A SPAWNON","ELIMINA SU SPAWN","ELIMINAR EN SPAWN","SUPPRIMER SUR SPAWN","刪除重生點車輛","スポーン地点で削除","EXCLUIR NO SPAWN","删除重生点车辆"
"STR_CVM_Count","%1 vehicle(s) on spawn / %2 scanned (radius %3 m).","%1 vehicle(s) on spawn / %2 scanned (radius %3 m).","%1 vozidel na spawnu / %2 prohledáno (poloměr %3 m).","%1 Fahrzeug(e) auf Spawn / %2 geprüft (Radius %3 m).","%1 транспорт на спавне / %2 проверено (радиус %3 м).","%1 pojazd(ów) na spawnie / %2 sprawdzono (promień %3 m).","%1 jármű a spawnon / %2 ellenőrizve (sugár %3 m).","%1 veicolo/i su spawn / %2 controllati (raggio %3 m).","%1 vehículo(s) en spawn / %2 escaneados (radio %3 m).","%1 véhicule(s) sur spawn / %2 scannés (rayon %3 m).","重生點車輛 %1 輛 / 已掃描 %2 輛（半徑 %3 公尺）。","スポーン地点の車両 %1 台 / %2 台スキャン（半径 %3 m）。","%1 veículo(s) no spawn / %2 verificados (raio %3 m).","重生点车辆 %1 辆 / 已扫描 %2 辆（半径 %3 米）。"
"STR_CVM_Legend","Red = deleted, Green = kept.","Red = deleted, Green = kept.","Červená = smazat, Zelená = ponechat.","Rot = löschen, Grün = behalten.","Красный = удалить, Зелёный = оставить.","Czerwony = usuń, Zielony = zostaw.","Piros = törlés, Zöld = megtartás.","Rosso = elimina, Verde = mantieni.","Rojo = eliminar, Verde = mantener.","Rouge = supprimé, Vert = conservé.","紅色 = 刪除，綠色 = 保留。","赤 = 削除、緑 = 保持。","Vermelho = excluir, Verde = manter.","红色 = 删除，绿色 = 保留。"
"STR_CVM_ConfirmQ","Delete these vehicles?","Delete these vehicles?","Smazat tato vozidla?","Diese Fahrzeuge löschen?","Удалить эти транспорты?","Usunąć te pojazdy?","Törli ezeket a járműveket?","Eliminare questi veicoli?","¿Eliminar estos vehículos?","Supprimer ces véhicules ?","刪除這些車輛？","これらの車両を削除しますか？","Excluir estes veículos?","删除这些车辆？"
"STR_CVM_Nothing","Nothing to delete.","Nothing to delete.","Není co smazat.","Nichts zu löschen.","Нечего удалять.","Nie ma czego usuwać.","Nincs mit törölni.","Niente da eliminare.","Nada que eliminar.","Rien à supprimer.","沒有可刪除的項目。","削除するものがありません。","Nada para excluir.","没有可删除的项目。"
"STR_CVM_Deleted","%1 vehicle(s) deleted on spawn / %2 scanned.","%1 vehicle(s) deleted on spawn / %2 scanned.","Smazáno %1 vozidel na spawnu / %2 prohledáno.","%1 Fahrzeug(e) auf Spawn gelöscht / %2 geprüft.","Удалено %1 транспорт на спавне / %2 проверено.","Usunięto %1 pojazd(ów) na spawnie / %2 sprawdzono.","%1 jármű törölve a spawnon / %2 ellenőrizve.","%1 veicolo/i eliminati su spawn / %2 controllati.","%1 vehículo(s) eliminados en spawn / %2 escaneados.","%1 véhicule(s) supprimé(s) sur spawn / %2 scannés.","已刪除重生點車輛 %1 輛 / 已掃描 %2 輛。","スポーン地点の車両 %1 台を削除 / %2 台スキャン。","%1 veículo(s) excluídos no spawn / %2 verificados.","已删除重生点车辆 %1 辆 / 已扫描 %2 辆。"
"STR_CVM_NoSpawns","No vehicle spawn found in cfgeventspawns.xml","No vehicle spawn found in cfgeventspawns.xml","V cfgeventspawns.xml nebyl nalezen žádný spawn vozidel","Kein Fahrzeug-Spawn in cfgeventspawns.xml gefunden","В cfgeventspawns.xml не найдено спавнов транспорта","Nie znaleziono spawnu pojazdów w cfgeventspawns.xml","Nincs járműspawn a cfgeventspawns.xml-ben","Nessuno spawn di veicoli in cfgeventspawns.xml","No se encontró spawn de vehículos en cfgeventspawns.xml","Aucun spawn de véhicule trouvé dans cfgeventspawns.xml","在 cfgeventspawns.xml 中找不到車輛重生點","cfgeventspawns.xml に車両スポーンが見つかりません","Nenhum spawn de veículo encontrado em cfgeventspawns.xml","在 cfgeventspawns.xml 中找不到车辆重生点"
"STR_CVM_FLIP","FLIP UPRIGHT","FLIP UPRIGHT","OTOČIT","AUFRICHTEN","ПЕРЕВЕРНУТЬ","POSTAW","VISSZAFORDÍT","RADDRIZZA","ENDEREZAR","RETOURNER","翻正車輛","ひっくり返す","DESVIRAR","翻正车辆"
"STR_CVM_REPAIR","REPAIR","REPAIR","OPRAVIT","REPARIEREN","РЕМОНТ","NAPRAW","JAVÍTÁS","RIPARA","REPARAR","RÉPARER","修理","修理","REPARAR","修理"
"STR_CVM_RESTORE","RESTORE","RESTORE","OBNOVIT","WIEDERHERSTELLEN","ВОССТАНОВИТЬ","PRZYWRÓĆ","HELYREÁLLÍTÁS","RIPRISTINA","RESTAURAR","RESTAURER","復原","復元","RESTAURAR","复原"
