"Language","original","English","French","German","Russian","Spanish","Italian","Polish","Czech","Hungarian","Chinese","Japanese","Portuguese","Korean"
"STR_BBM_MODULE_NAME","Base Building Management","Base Building Management","Gestion des constructions","Bauwerk-Verwaltung","Управление постройками","Gestión de construcciones","Gestione costruzioni","Zarządzanie budowlami","Správa staveb","Építmények kezelése","建筑管理","建築管理","Gestão de construções","건축물 관리"
"STR_BBM_LIST_TITLE","BUILDINGS","BUILDINGS","CONSTRUCTIONS","BAUWERKE","ПОСТРОЙКИ","CONSTRUCCIONES","COSTRUZIONI","BUDOWLE","STAVBY","ÉPÍTMÉNYEK","建筑","建築物","CONSTRUÇÕES","건축물"
"STR_BBM_REGROUP","REGROUP","REGROUP","REGROUPER","NEU GRUPPIEREN","ПЕРЕГРУППИРОВАТЬ","REAGRUPAR","RAGGRUPPA","ZGRUPUJ","PŘESKUPIT","ÚJRACSOPORTOSÍTÁS","重新分组","再グループ化","REAGRUPAR","재그룹화"
"STR_BBM_DELETE_ALL","DELETE ALL","DELETE ALL","SUPPR. TOUT","ALLE LÖSCHEN","УДАЛИТЬ ВСЁ","ELIMINAR TODO","ELIMINA TUTTO","USUŃ WSZYSTKO","SMAZAT VŠE","MIND TÖRLÉSE","全部删除","全削除","EXCLUIR TUDO","모두 삭제"
"STR_BBM_DELETE_ALL_CONFIRM","DELETE ALL PLAYER CONSTRUCTIONS ON THE SERVER? THIS CANNOT BE UNDONE.","DELETE ALL PLAYER CONSTRUCTIONS ON THE SERVER? THIS CANNOT BE UNDONE.","SUPPRIMER TOUTES LES CONSTRUCTIONS DES JOUEURS SUR LE SERVEUR ? CETTE ACTION EST IRRÉVERSIBLE.","ALLE SPIELERBAUTEN AUF DEM SERVER LÖSCHEN? DIES KANN NICHT RÜCKGÄNGIG GEMACHT WERDEN.","УДАЛИТЬ ВСЕ ПОСТРОЙКИ ИГРОКОВ НА СЕРВЕРЕ? ЭТО ДЕЙСТВИЕ НЕОБРАТИМО.","¿ELIMINAR TODAS LAS CONSTRUCCIONES DE JUGADORES DEL SERVIDOR? ESTA ACCIÓN ES IRREVERSIBLE.","ELIMINARE TUTTE LE COSTRUZIONI DEI GIOCATORI SUL SERVER? QUESTA AZIONE È IRREVERSIBILE.","USUNĄĆ WSZYSTKIE BUDOWLE GRACZY NA SERWERZE? TEJ OPERACJI NIE MOŻNA COFNĄĆ.","SMAZAT VŠECHNY HRÁČSKÉ STAVBY NA SERVERU? TUTO AKCI NELZE VRÁTIT ZPĚT.","TÖRLI AZ ÖSSZES JÁTÉKOS ÉPÍTMÉNYT A SZERVEREN? EZ NEM VONHATÓ VISSZA.","删除服务器上所有玩家的建筑？此操作无法撤销。","サーバー上のすべてのプレイヤー建築を削除しますか？この操作は取り消せません。","EXCLUIR TODAS AS CONSTRUÇÕES DOS JOGADORES NO SERVIDOR? ESTA AÇÃO É IRREVERSÍVEL.","서버의 모든 플레이어 건축물을 삭제하시겠습니까? 이 작업은 되돌릴 수 없습니다."
"STR_BBM_DELETE_ONE","DELETE THIS ELEMENT?","DELETE THIS ELEMENT?","SUPPRIMER CET ÉLÉMENT ?","DIESES ELEMENT LÖSCHEN?","УДАЛИТЬ ЭТОТ ЭЛЕМЕНТ?","¿ELIMINAR ESTE ELEMENTO?","ELIMINARE QUESTO ELEMENTO?","USUNĄĆ TEN ELEMENT?","SMAZAT TENTO PRVEK?","TÖRLI EZT AZ ELEMET?","删除此元素？","この要素を削除しますか？","EXCLUIR ESTE ELEMENTO?","이 요소를 삭제하시겠습니까?"
"STR_BBM_DELETE_GROUP","DELETE GROUP","DELETE GROUP","SUPPR. GROUPE","GRUPPE LÖSCHEN","УДАЛИТЬ ГРУППУ","ELIMINAR GRUPO","ELIMINA GRUPPO","USUŃ GRUPĘ","SMAZAT SKUPINU","CSOPORT TÖRLÉSE","删除分组","グループを削除","EXCLUIR GRUPO","그룹 삭제"
"STR_BBM_DELETE_GROUP_CONFIRM","DELETE ALL ELEMENTS OF THIS ZONE?","DELETE ALL ELEMENTS OF THIS ZONE?","SUPPRIMER TOUS LES ÉLÉMENTS DE CETTE ZONE ?","ALLE ELEMENTE DIESER ZONE LÖSCHEN?","УДАЛИТЬ ВСЕ ЭЛЕМЕНТЫ ЭТОЙ ЗОНЫ?","¿ELIMINAR TODOS LOS ELEMENTOS DE ESTA ZONA?","ELIMINARE TUTTI GLI ELEMENTI DI QUESTA ZONA?","USUNĄĆ WSZYSTKIE ELEMENTY TEJ STREFY?","SMAZAT VŠECHNY PRVKY TÉTO ZÓNY?","TÖRLI A ZÓNA ÖSSZES ELEMÉT?","删除此区域的所有元素？","このゾーンのすべての要素を削除しますか？","EXCLUIR TODOS OS ELEMENTOS DESTA ZONA?","이 구역의 모든 요소를 삭제하시겠습니까?"
"STR_BBM_DELETE_SHORT","DEL","DEL","SUPPR","LÖ","УД","ELIM","ELIM","USUŃ","SMAZ","TÖR","删除","削除","EXCL","삭제"
"STR_BBM_TP_ZONE","TP ZONE","TP ZONE","TP ZONE","TP ZONE","ТП ЗОНА","TP ZONA","TP ZONA","TP STREFA","TP ZÓNA","TP ZÓNA","传送到区域","ゾーンへTP","TP ZONA","구역 TP"
